genmodel_id,year,entry_price
6_9,2008.0,83887.0
6_9,2009.0,82102.0
6_9,2010.0,89882.0
6_9,2011.0,89882.0
6_9,2012.0,86189.0
6_9,2013.0,86189.0
6_9,2014.0,86189.0
6_9,2015.0,86189.0
6_9,2016.0,88689.0
6_9,2017.0,88689.0
6_9,2018.0,120900.0
7_1,2010.0,13090.0
7_1,2011.0,13090.0
7_1,2012.0,13365.0
7_1,2013.0,13585.0
7_1,2014.0,14060.0
7_1,2015.0,14060.0
7_1,2016.0,14060.0
7_1,2017.0,14475.0
7_1,2018.0,15385.0
7_11,1998.0,22970.0
7_11,1999.0,22970.0
7_11,2000.0,20585.0
7_11,2001.0,20320.0
7_11,2002.0,20320.0
7_11,2003.0,20320.0
7_11,2004.0,20927.0
7_11,2005.0,22677.0
7_11,2006.0,24337.0
7_11,2007.0,25077.0
7_11,2008.0,24625.0
7_11,2009.0,24105.0
7_11,2010.0,25645.0
7_11,2011.0,26215.0
7_11,2012.0,26770.0
7_11,2013.0,30755.0
7_11,2014.0,30930.0
7_11,2015.0,30930.0
7_11,2016.0,32240.0
7_11,2017.0,32240.0
7_11,2018.0,32945.0
7_15,2010.0,42760.0
7_15,2011.0,39825.0
7_15,2012.0,39825.0
7_15,2013.0,40815.0
7_15,2014.0,40990.0
7_15,2015.0,40990.0
7_15,2016.0,46360.0
7_15,2017.0,46810.0
7_15,2018.0,46880.0
7_16,1998.0,36420.0
7_16,1999.0,36420.0
7_16,2000.0,36265.0
7_16,2001.0,34499.0
7_16,2002.0,38120.0
7_16,2003.0,38120.0
7_16,2004.0,45977.0
7_16,2005.0,45977.0
7_16,2006.0,48477.0
7_16,2007.0,49405.0
7_16,2008.0,49405.0
7_16,2009.0,48685.0
7_16,2010.0,50790.0
7_16,2011.0,50790.0
7_16,2012.0,51858.0
7_16,2013.0,53460.0
7_16,2014.0,53460.0
7_16,2015.0,59345.0
7_16,2016.0,59385.0
7_16,2017.0,60035.0
7_16,2018.0,64620.0
7_18,2016.0,20175.0
7_18,2017.0,20175.0
7_18,2018.0,21445.0
7_19,2011.0,24390.0
7_19,2012.0,24390.0
7_19,2013.0,23690.0
7_19,2014.0,23690.0
7_19,2015.0,23690.0
7_19,2016.0,25595.0
7_19,2017.0,26095.0
7_19,2018.0,26095.0
7_2,2000.0,13770.0
7_2,2001.0,13020.0
7_2,2002.0,13020.0
7_2,2003.0,13020.0
7_2,2004.0,12572.0
7_2,2005.0,12572.0
7_20,2008.0,26845.0
7_20,2009.0,25475.0
7_20,2010.0,26330.0
7_20,2011.0,26330.0
7_20,2012.0,27500.0
7_20,2013.0,29850.0
7_20,2014.0,30605.0
7_20,2015.0,31025.0
7_20,2016.0,31025.0
7_20,2017.0,32380.0
7_20,2018.0,38505.0
7_21,2006.0,37077.0
7_21,2007.0,37077.0
7_21,2008.0,37725.0
7_21,2009.0,37950.0
7_21,2010.0,37950.0
7_21,2011.0,39455.0
7_21,2012.0,39495.0
7_21,2013.0,39495.0
7_21,2014.0,43355.0
7_21,2015.0,44455.0
7_21,2016.0,44455.0
7_21,2017.0,48255.0
7_21,2018.0,50855.0
7_23,2007.0,76475.0
7_23,2008.0,77845.0
7_23,2009.0,76950.0
7_23,2010.0,82095.0
7_23,2011.0,84095.0
7_23,2012.0,86880.0
7_23,2013.0,86880.0
7_23,2014.0,91590.0
7_23,2015.0,92590.0
7_23,2016.0,118345.0
7_23,2017.0,107945.0
7_23,2018.0,110395.0
7_3,1998.0,15051.0
7_3,1999.0,15051.0
7_3,2000.0,15050.0
7_3,2001.0,14475.0
7_3,2002.0,14475.0
7_3,2003.0,14475.0
7_3,2004.0,14475.0
7_3,2005.0,14877.0
7_3,2006.0,14877.0
7_3,2007.0,14780.0
7_3,2008.0,14770.0
7_3,2009.0,14480.0
7_3,2010.0,15565.0
7_3,2011.0,15875.0
7_3,2012.0,16400.0
7_3,2013.0,17160.0
7_3,2014.0,18225.0
7_3,2015.0,18225.0
7_3,2016.0,18810.0
7_3,2017.0,18810.0
7_3,2018.0,20170.0
7_3,2019.0,21610.0
7_3,2020.0,22500.0
7_46,1999.0,26470.0
7_46,2000.0,23870.0
7_46,2001.0,23870.0
7_46,2002.0,21270.0
7_46,2003.0,21270.0
7_46,2004.0,20527.0
7_46,2005.0,20527.0
7_46,2006.0,20887.0
7_46,2007.0,21087.0
7_46,2008.0,23710.0
7_46,2009.0,23710.0
7_46,2010.0,24230.0
7_46,2011.0,23885.0
7_46,2012.0,23885.0
7_46,2013.0,24165.0
7_46,2014.0,24435.0
7_46,2015.0,26965.0
7_46,2016.0,26965.0
7_46,2017.0,27400.0
7_46,2018.0,28595.0
7_49,2018.0,63745.0
7_5,1998.0,16879.0
7_5,1999.0,16879.0
7_5,2000.0,16015.0
7_5,2001.0,17510.0
7_5,2002.0,17510.0
7_5,2003.0,17510.0
7_5,2004.0,18017.0
7_5,2005.0,18317.0
7_5,2006.0,18997.0
7_5,2007.0,18997.0
7_5,2008.0,19670.0
7_5,2009.0,19260.0
7_5,2010.0,21105.0
7_5,2011.0,21525.0
7_5,2012.0,21980.0
7_5,2013.0,21980.0
